"類別","ID","名稱","規則／數值","Canonical 狀態"
"季節","spring","春季","每季 28 天；序號 NaN","PASS"
"季節","summer","夏季","每季 28 天；序號 NaN","PASS"
"季節","autumn","秋季","每季 28 天；序號 NaN","PASS"
"季節","winter","冬季","每季 28 天；序號 NaN","PASS"
"種子","seed_01","蕪菁","適種：spring；售價 15G","PASS"
"種子","seed_02","胡蘿蔔","適種：spring/autumn；售價 20G","PASS"
"種子","seed_03","馬鈴薯","適種：spring；售價 25G","PASS"
"種子","seed_04","番茄","適種：summer；售價 35G","PASS"
"種子","seed_05","玉米","適種：summer；售價 40G","PASS"
"種子","seed_06","南瓜","適種：autumn；售價 60G","PASS"
"種子","seed_07","甜瓜","適種：summer；售價 80G","PASS"
"種子","seed_08","莓果","適種：spring/autumn；售價 22G","PASS"
"種子","seed_09","向日葵","適種：summer；售價 120G","PASS"
"種子","seed_10","星光果","適種：winter；售價 150G","PASS"
"品質","normal","一般","售價倍率 ×1","PASS"
"品質","good","良好","售價倍率 ×1.2","PASS"
"品質","high","優良","售價倍率 ×1.5","PASS"
"品質","star","星級","售價倍率 ×2","PASS"
"農務動作","prepare","鋤頭","基礎體力 2","PASS"
"農務動作","plant","種子袋","基礎體力 1","PASS"
"農務動作","water","澆水壺","基礎體力 1","PASS"
"農務動作","harvest","收成鐮刀","基礎體力 1","PASS"
"農務動作","clear","鋤頭","基礎體力 2","PASS"
"農務動作","animalFeed","飼料袋","基礎體力 1","PASS"
"農務動作","animalPet","撫摸","基礎體力 1","PASS"
"農務動作","animalBrush","動物刷","基礎體力 2","PASS"
"農莊等級","farm_lv1","初心農莊","下一級 500G＋木材×20、石材×10＋施工 1440 分鐘","PASS"
"農莊等級","farm_lv2","成長農莊","下一級 1500G＋木材×35、石材×25＋施工 1440 分鐘","PASS"
"農莊等級","farm_lv3","豐收農莊","下一級 3200G＋木材×50、石材×40、日耀礦×2＋施工 1440 分鐘","PASS"
"農莊等級","farm_lv4","智慧農莊","下一級 6000G＋木材×70、石材×60、古代齒輪×3＋施工 1440 分鐘","PASS"
"農莊等級","farm_lv5","星光示範農莊","最高等級","PASS"
"動物／飼料","mat_milk","牛奶","買價 0G；售價 30G","PASS"
"動物／飼料","mat_wool","羊毛","買價 0G；售價 25G","PASS"
"動物／飼料","mat_egg","雞蛋","買價 0G；售價 20G","PASS"
"動物／飼料","mat_animal_feed","營養飼料","買價 12G；售價 4G","PASS"
